"","Number","OddsRatio1","pospos","posneg","negpos","negneg","total","posaccurracy","negaccurracy","accuraccy"
"1","D:/FinalModelRunsFixed/sod/1028/eda/ramorum-16.img",9.24,258,50,43,77,428,0.837662337662338,0.641666666666667,0.782710280373832
"2","D:/FinalModelRunsFixed/sod/1091/eda/ramorum-16.img",10.5345911949686,275,33,53,67,428,0.892857142857143,0.558333333333333,0.799065420560748
"3","D:/FinalModelRunsFixed/sod/1952/eda/ramorum-16.img",4.58653846153846,212,96,39,81,428,0.688311688311688,0.675,0.684579439252336
"4","D:/FinalModelRunsFixed/sod/2284/eda/ramorum-16.img",6.43271221532091,239,69,42,78,428,0.775974025974026,0.65,0.740654205607477
"5","D:/FinalModelRunsFixed/sod/2425/eda/ramorum-16.img",6.93083363669458,241,67,41,79,428,0.782467532467532,0.658333333333333,0.747663551401869
"6","D:/FinalModelRunsFixed/sod/2503/eda/ramorum-16.img",10.921146953405,277,31,54,66,428,0.899350649350649,0.55,0.801401869158878
"7","D:/FinalModelRunsFixed/sod/2680/eda/ramorum-16.img",8.71376811594203,260,48,46,74,428,0.844155844155844,0.616666666666667,0.780373831775701
"8","D:/FinalModelRunsFixed/sod/2968/eda/ramorum-16.img",9.94736842105263,270,38,50,70,428,0.876623376623377,0.583333333333333,0.794392523364486
"9","D:/FinalModelRunsFixed/sod/3433/eda/ramorum-16.img",11.2823529411765,274,34,50,70,428,0.88961038961039,0.583333333333333,0.803738317757009
"10","D:/FinalModelRunsFixed/sod/3555/eda/ramorum-16.img",11.6666666666667,275,33,50,70,428,0.892857142857143,0.583333333333333,0.80607476635514
"11","D:/FinalModelRunsFixed/sod/4088/eda/ramorum-16.img",10.5904761904762,278,30,56,64,428,0.902597402597403,0.533333333333333,0.799065420560748
"12","D:/FinalModelRunsFixed/sod/4404/eda/ramorum-16.img",8.50310559006211,259,49,46,74,428,0.840909090909091,0.616666666666667,0.77803738317757
"13","D:/FinalModelRunsFixed/sod/4824/eda/ramorum-16.img",3.46019900497512,107,201,16,104,428,0.347402597402597,0.866666666666667,0.492990654205608
"14","D:/FinalModelRunsFixed/sod/4909/eda/ramorum-16.img",11.2958003651856,277,31,53,67,428,0.899350649350649,0.558333333333333,0.803738317757009
"15","D:/FinalModelRunsFixed/sod/5052/eda/ramorum-16.img",8.24069478908189,246,62,39,81,428,0.798701298701299,0.675,0.764018691588785
"16","D:/FinalModelRunsFixed/sod/5220/eda/ramorum-16.img",8.76666666666667,263,45,48,72,428,0.853896103896104,0.6,0.782710280373832
"17","D:/FinalModelRunsFixed/sod/5405/eda/ramorum-16.img",11.2788461538462,276,32,52,68,428,0.896103896103896,0.566666666666667,0.803738317757009
"18","D:/FinalModelRunsFixed/sod/5947/eda/ramorum-16.img",5.66917293233083,232,76,42,78,428,0.753246753246753,0.65,0.724299065420561
"19","D:/FinalModelRunsFixed/sod/6060/eda/ramorum-16.img",3.6049096804076,181,127,34,86,428,0.587662337662338,0.716666666666667,0.623831775700935
"20","D:/FinalModelRunsFixed/sod/6938/eda/ramorum-16.img",10.5601173020528,277,31,55,65,428,0.899350649350649,0.541666666666667,0.799065420560748
"21","D:/FinalModelRunsFixed/sod/7315/eda/ramorum-16.img",10.2119815668203,277,31,56,64,428,0.899350649350649,0.533333333333333,0.796728971962617
"22","D:/FinalModelRunsFixed/sod/7362/eda/ramorum-16.img",5.66666666666667,238,70,45,75,428,0.772727272727273,0.625,0.731308411214953
"23","D:/FinalModelRunsFixed/sod/7908/eda/ramorum-16.img",10.5904761904762,278,30,56,64,428,0.902597402597403,0.533333333333333,0.799065420560748
"24","D:/FinalModelRunsFixed/sod/8519/eda/ramorum-16.img",5.48154869933454,221,87,38,82,428,0.717532467532468,0.683333333333333,0.707943925233645
"25","D:/FinalModelRunsFixed/sod/8727/eda/ramorum-16.img",3.55737704918033,186,122,36,84,428,0.603896103896104,0.7,0.630841121495327
"26","D:/FinalModelRunsFixed/sod/8917/eda/ramorum-16.img",4.30443756449948,194,114,34,86,428,0.62987012987013,0.716666666666667,0.654205607476635
"27","D:/FinalModelRunsFixed/sod/9134/eda/ramorum-16.img",8.00492610837438,250,58,42,78,428,0.811688311688312,0.65,0.766355140186916
"28","D:/FinalModelRunsFixed/sod/9281/eda/ramorum-16.img",5.47619047619048,230,78,42,78,428,0.746753246753247,0.65,0.719626168224299
"29","D:/FinalModelRunsFixed/sod/9682/eda/ramorum-16.img",6.21333333333333,233,75,40,80,428,0.756493506493506,0.666666666666667,0.731308411214953
"30","D:/FinalModelRunsFixed/sod/9854/eda/ramorum-16.img",7.70588235294118,262,46,51,69,428,0.850649350649351,0.575,0.773364485981308
